EPIC,Task,Description,Hour
,"Fetch Canvas Assignments","Retrieve assignments for linked Canvas course","6"
,"Assignment Mapping & Persistence","Link Canvas Assignment ID and Platform Assignment ID","6"
,"Pre-Link Eligibility Checks","","6"
,"Pre-Grade Push Validation","","4"
,"Grade Transformation & Mapping","Convert platform scores → Canvas grading format","6"
,"Grade Push Execution","Submit grades via Canvas API","6"

"Turnitin Integration"
,"Configure and setup google Turnitin API","","6"
,"Turnitin Credential & Policy Configuration","Secure storage of Turnitin API credentials per school","6"
,"Enablement & Guardrails","handle School-level enable/disable toggle","6"
,"Class-Level Plagiarism Toggle","Persist plagiarism enabled/disabled per class","6"
,"Results Display & Indicators","","6"

"Admin Dashboard - School"
,"View basic statistics and key information","Basic stats, graphs","16"

"Admin User Management - School"
,"Listing","","6"
,"Add/edit","","8"
,"Delete","","4"
,"Manage role and permission","","12"

"Teacher Management - School"
,"Teacher Listing","","6"
,"Add/edit Teacher account","","8"
,"View details","","8"
,"Delete","","4"
,"Search and filter","","8"
,"View High level activity metrics","Graphs and charts","8"
,"View student records","","8"
,"View class enrollments","","8"

"Students Management - School"
,"Add Students","","6"
,"Edit Student","","4"
,"Remove Student","","2"
,"Upload field mapping ( assignment completed, average grade)","","8"
,"Class Syllabus","Covered by file upload system","14"

"Role-base permission - School"
,"Edit permission","","4"
,"List Role","","4"
,"View Role","","4"
,"Add Role","","6"
,"Delete permission","","4"
,"Add permission","","12"
,"View permission","","8"
,"Delete Role","","2"
,"Edit Role","","4"

"Subscription & billing - School"
,"Subscription usage metrics","","8"
,"Subscription detail","","6"
,"Current subscription plan","","6"
,"Track subscription plans","","4"
,"Purchase Subscription","","12"
,"Purchase History","","14"

"Class & course management - School"
,"Add Class and course","","8"
,"View class and course","","6"
,"Edit/update class","","4"
,"Edit/update course","","4"
,"Class details","","4"
,"view enrolments and curricula","","6"

"Data & compliance - School"
,"Export school data","","4"
,"Data access logs","","2"
,"Error reporting","(LMS sync errors, OCR failures, AI grading errors)","6"

"Audit log - School"
,"Add audit log","","32"
,"List Audit logs","","6"
,"View log details","","6"

"School Level Analytics - School"
,"Performace views","","8"
,"Teacher analytics","","12"
,"Cohort comparisons","","8"

"Integration Management - School"
,"Toggle integrations","","14"
,"View integrations","","14"

"Card Payment Setup - School"
,"Remove credit card details","","4"
,"Set a primary (default) card for payments","","4"
,"View list of saved cards","","8"
,"Add credit card details","","24"
,"Update credit card details","","8"

"Admin User Management"
,"Listing","","6"
,"Add/edit","","8"
,"Delete","","4"
,"Manage permission","","8"

"School Management"
,"Add School","","8"
,"Edit School","","6"
,"View School","","6"
,"List School","","6"
,"Delete School","","4"
,"Filter and Search","","6"

"Admin Dashboard"
,"View basic statistics and key information","Basic stats, graphs","16"

"Transactions"
,"View full transaction history","","12"
,"See detailed information for each transaction","","6"
,"Filter or search transactions by date, type, or keyword","","6"
,"Download transaction records as PDF files","","16"

"Deployment"
,"Deployment","","8"


"CMS"

"Project Configuration"
,"Set up project structure and tools","","4"

"CMS Pages"
,"Configure settings for individual CMS pages","","6"
,"Manage and update pages from the admin panel","","12"

"Authentication"
,"Login with email","","8"
,"Reset password","","4"
,"Forgot passowrd","","4"

"Email Notification"
,"Manage email template","Create, Edit, View, Delete","40"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","4"

"Backend Configurations and Authentication"
,"Forgot password to admin","","4"
,"Change password","","4"
,"Logout","","2"
,"Backend template management","","4"
,"Login","","6"

"Admin User Management"
,"Listing","","6"
,"Add/edit","","12"
,"Delete","","4"
,"Manage permission","","6"

"School Management"
,"Add School","","8"
,"Edit School","","6"
,"View School","","8"
,"List School","","6"
,"Delete School","","4"
,"Filter and Search","","8"

"Admin Dashboard"
